OBJ: TObjArray	TObjArray	An array of objects : 0
 OBJ: TBranch	FsrPhoton_dROverEt2	deltaR to associated muon divided by photon et2 : 0 at: 0x621f410
 OBJ: TBranch	FsrPhoton_eta	eta : 0 at: 0x6223050
 OBJ: TBranch	FsrPhoton_phi	phi : 0 at: 0x6226bf0
 OBJ: TBranch	FsrPhoton_pt	pt : 0 at: 0x622a790
 OBJ: TBranch	FsrPhoton_relIso03	relative isolation in a 0.3 cone without CHS : 0 at: 0x622e330
 OBJ: TBranch	FsrPhoton_muonIdx	index of associated muon : 0 at: 0x6231f70
 OBJ: TBranch	nIsoTrack	isolated tracks after basic selection (((pt>5 && (abs(pdgId) == 11 || abs(pdgId) == 13)) || pt > 10) && (abs(pdgId) < 15 || abs(eta) < 2.5) && abs(dxy) < 0.2 && abs(dz) < 0.1 && ((pfIsolationDR03().chargedHadronIso < 5 && pt < 25) || pfIsolationDR03().chargedHadronIso/pt < 0.2)) and lepton veto : 0 at: 0x6235ba0
 OBJ: TBranch	IsoTrack_dxy	dxy (with sign) wrt first PV, in cm : 0 at: 0x6237cc0
 OBJ: TBranch	IsoTrack_dz	dz (with sign) wrt first PV, in cm : 0 at: 0x623b8a0
 OBJ: TBranch	IsoTrack_eta	eta : 0 at: 0x623f480
 OBJ: TBranch	IsoTrack_pfRelIso03_all	PF relative isolation dR=0.3, total (deltaBeta corrections) : 0 at: 0x6243020
 OBJ: TBranch	IsoTrack_pfRelIso03_chg	PF relative isolation dR=0.3, charged component : 0 at: 0x6246c80
 OBJ: TBranch	IsoTrack_phi	phi : 0 at: 0x624a8d0
 OBJ: TBranch	IsoTrack_pt	pt : 0 at: 0x624e470
 OBJ: TBranch	IsoTrack_miniPFRelIso_all	mini PF relative isolation, total (with scaled rho*EA PU corrections) : 0 at: 0x6252010
 OBJ: TBranch	IsoTrack_miniPFRelIso_chg	mini PF relative isolation, charged component : 0 at: 0x6255c80
 OBJ: TBranch	IsoTrack_fromPV	isolated track comes from PV : 0 at: 0x62598d0
 OBJ: TBranch	IsoTrack_pdgId	PDG id of PF cand : 0 at: 0x625d4a0
 OBJ: TBranch	IsoTrack_isHighPurityTrack	track is high purity : 0 at: 0x6261070
 OBJ: TBranch	IsoTrack_isPFcand	if isolated track is a PF candidate : 0 at: 0x6264cb0
 OBJ: TBranch	IsoTrack_isFromLostTrack	if isolated track comes from a lost track : 0 at: 0x62688f0
 OBJ: TBranch	nJet	slimmedJets, i.e. ak4 PFJets CHS with JECs applied, after basic selection (pt > 15) : 0 at: 0x626c540
 OBJ: TBranch	Jet_area	jet catchment area, for JECs : 0 at: 0x626e590
 OBJ: TBranch	Jet_btagCMVA	CMVA V2 btag discriminator : 0 at: 0x6271480
 OBJ: TBranch	Jet_btagCSVV2	 pfCombinedInclusiveSecondaryVertexV2 b-tag discriminator (aka CSVV2) : 0 at: 0x62743a0
 OBJ: TBranch	Jet_btagDeepB	DeepCSV b+bb tag discriminator : 0 at: 0x62772f0
 OBJ: TBranch	Jet_btagDeepC	DeepCSV charm btag discriminator : 0 at: 0x627a210
 OBJ: TBranch	Jet_btagDeepFlavB	DeepFlavour b+bb+lepb tag discriminator : 0 at: 0x627d140
 OBJ: TBranch	Jet_btagDeepFlavC	DeepFlavour charm tag discriminator : 0 at: 0x62800f0
 OBJ: TBranch	Jet_chEmEF	charged Electromagnetic Energy Fraction : 0 at: 0x62830a0
 OBJ: TBranch	Jet_chFPV0EF	charged fromPV==0 Energy Fraction (energy excluded from CHS jets). Previously called betastar. : 0 at: 0x6285ff0
